,iteration,epoch,avg_disc_loss,avg_ae_loss,avg_recon_loss,timeT,timeV
0,0,0,8.0352,7399.797,15285.2761,1.7543,0.4237
1,0,1,3.0858,7394.5719,15285.7327,1.6086,0.4295
2,0,2,0.2426,7399.5525,15286.4646,1.6168,0.4308
3,0,3,0.3066,7406.1174,15287.1816,1.6182,0.427
4,0,4,0.3267,7404.624,15286.3832,1.6082,0.4345
5,0,5,0.2466,7401.9814,15286.1164,1.6173,0.4254
6,0,6,0.1758,7402.6721,15286.0911,1.6067,0.4253
7,0,7,0.0677,7400.3486,15288.106,1.6124,0.429
8,0,8,0.0795,7405.4593,15286.2548,1.6196,0.4285
9,0,9,0.041,7400.3259,15286.4268,1.6187,0.4263
10,0,10,0.0238,7397.7886,15286.3765,1.6117,0.4261
11,0,11,-0.0644,7399.4804,15286.651,1.6141,0.4281
12,0,12,-0.1093,7398.7802,15288.0043,1.6079,0.4292
13,0,13,-0.0134,7401.0045,15286.3607,1.613,0.4273
14,0,14,-0.0099,7405.6013,15286.5375,1.6157,0.4355
15,0,15,-0.0161,7405.7086,15285.3391,1.6174,0.4366
16,0,16,-0.0897,7402.7926,15285.1606,1.6256,0.4355
17,0,17,-0.0945,7399.1984,15286.5406,1.6229,0.4291
18,0,18,-0.1021,7400.1605,15287.2923,1.6361,0.4275
19,0,19,-0.1036,7405.1803,15286.5412,1.6641,0.424
20,0,20,-0.0787,7400.4882,15286.7202,1.6158,0.4291
21,0,21,-0.1345,7402.7254,15287.6011,1.6201,0.4302
22,0,22,-0.0992,7401.0514,15286.1798,1.6215,0.4287
23,0,23,-0.137,7401.2779,15287.5465,1.6112,0.4253
24,0,24,-0.0756,7404.6044,15286.918,1.6268,0.4242
25,0,25,-0.1239,7399.0043,15285.3314,1.6257,0.4296
26,0,26,-0.1197,7398.5377,15286.8099,1.6242,0.4301
27,0,27,-0.1308,7404.5839,15287.7017,1.6158,0.4316
28,0,28,-0.0905,7405.3866,15285.0234,1.6203,0.4267
29,0,29,-0.073,7402.6175,15283.956,1.611,0.4287
30,1,0,-0.1037,7326.4775,15123.4521,1.8626,0.4389
