n=170400, min(rmsd) = 2.0063393115997314, max(rms) = 9.362911224365234, mean(rmsd) = 3.9338929653167725, median(rmsd) = 3.7376632690429688
n=171300, min(rmsd) = 1.5586824417114258, max(rms) = 10.02690601348877, mean(rmsd) = 3.903679132461548, median(rmsd) = 3.601091146469116
n=171400, min(rmsd) = 2.2039191722869873, max(rms) = 9.756912231445312, mean(rmsd) = 4.051301002502441, median(rmsd) = 3.813544273376465
n=169300, min(rmsd) = 1.6981897354125977, max(rms) = 11.096160888671875, mean(rmsd) = 3.9179625511169434, median(rmsd) = 3.6942248344421387
n=170700, min(rmsd) = 1.677420735359192, max(rms) = 10.033092498779297, mean(rmsd) = 4.007079124450684, median(rmsd) = 3.813992500305176
n=171400, min(rmsd) = 1.5534820556640625, max(rms) = 9.060246467590332, mean(rmsd) = 3.9801082611083984, median(rmsd) = 3.695892095565796
n=170800, min(rmsd) = 1.692521333694458, max(rms) = 9.678858757019043, mean(rmsd) = 4.112094402313232, median(rmsd) = 3.9178357124328613
n=171600, min(rmsd) = 1.753890037536621, max(rms) = 10.87557315826416, mean(rmsd) = 3.603996515274048, median(rmsd) = 3.355151653289795
n=170700, min(rmsd) = 1.9599156379699707, max(rms) = 9.181733131408691, mean(rmsd) = 4.108388423919678, median(rmsd) = 3.8498892784118652
n=170500, min(rmsd) = 2.021970510482788, max(rms) = 9.899023056030273, mean(rmsd) = 3.931203842163086, median(rmsd) = 3.6903867721557617
n=171500, min(rmsd) = 1.5574208498001099, max(rms) = 10.197985649108887, mean(rmsd) = 3.9571533203125, median(rmsd) = 3.7495837211608887
